{'bots': 373.175, 'aggressiveness': 2.1225028471896565, 'green': 214.39, 'blue': 94.98, 'energy': 141.5873651771957, 'deaths': 5.53, 'born': 5.43}
{'bots': 179.24, 'aggressiveness': 0.8988228074090605, 'green': 173.015, 'blue': 0.055, 'energy': 147.5085639366213, 'deaths': 4.96, 'born': 6.02}
{'bots': 377.565, 'aggressiveness': 1.0315574801689775, 'green': 364.955, 'blue': 0.65, 'energy': 146.71243362070106, 'deaths': 11.4, 'born': 11.815}
{'bots': 160.28, 'aggressiveness': 2.879897679061642, 'green': 154.705, 'blue': 0.4, 'energy': 147.66461816820564, 'deaths': 6.145, 'born': 4.55}
{'bots': 67.37, 'aggressiveness': 8.16669140567018, 'green': 63.7, 'blue': 0.195, 'energy': 136.06241650586315, 'deaths': 2.4, 'born': 2.525}
{'bots': 93.75, 'aggressiveness': 9.17648, 'green': 87.41, 'blue': 0.27, 'energy': 134.02709333333334, 'deaths': 3.655, 'born': 3.79}
{'bots': 153.995, 'aggressiveness': 9.3368291178285, 'green': 142.805, 'blue': 0.39, 'energy': 132.96120003896232, 'deaths': 5.505, 'born': 6.03}
{'bots': 326.29, 'aggressiveness': 8.852385914370652, 'green': 301.17, 'blue': 1.35, 'energy': 134.54799411566398, 'deaths': 11.86, 'born': 13.005}
{'bots': 532.595, 'aggressiveness': 8.1526018832321, 'green': 493.695, 'blue': 0.965, 'energy': 135.94033928219378, 'deaths': 19.725, 'born': 20.625}
{'bots': 723.025, 'aggressiveness': 8.005145050309464, 'green': 670.54, 'blue': 1.085, 'energy': 135.86180975761556, 'deaths': 26.65, 'born': 27.735}
{'bots': 925.14, 'aggressiveness': 7.8831203925892295, 'green': 856.72, 'blue': 2.285, 'energy': 135.85454093434507, 'deaths': 34.315, 'born': 35.315}
{'bots': 1083.595, 'aggressiveness': 7.985561948883116, 'green': 1003.215, 'blue': 2.085, 'energy': 136.28648618718248, 'deaths': 40.445, 'born': 41.01}
{'bots': 1225.555, 'aggressiveness': 7.6395755392454845, 'green': 1133.97, 'blue': 3.015, 'energy': 135.96056072554885, 'deaths': 46.03, 'born': 46.53}
{'bots': 1366.53, 'aggressiveness': 7.4970875136294115, 'green': 1264.505, 'blue': 3.02, 'energy': 136.18699918772364, 'deaths': 51.145, 'born': 51.985}
